Station,Station Type,#SPs,Avg SP length
S1,Regular,3,8860.67
S2,CommunicationPoint,0,0
S3,Regular,2,448.5
S4,CommunicationPoint,0,0
S5,Regular,1,316.0
S6,CommunicationPoint,0,0
S7,Regular,1,264.0
S8,Regular,3,528.0
S9,Regular,2,3370.0
S10,CommunicationPoint,0,0
S11,Regular,3,9190.0
S12,Regular,2,4870.0
S13,CommunicationPoint,0,0
S14,CommunicationPoint,0,0
S15,CommunicationPoint,0,0
S17,CommunicationPoint,0,0
S18,CommunicationPoint,0,0
S19,Regular,2,343.0
S20,Regular,2,528.0
S21,Regular,2,41791.0
S22,Regular,1,528.0
S23,Gate,3,7429.33
S24,Regular,1,528.0
S25,Regular,1,528.0
S26,Regular,1,528.0
S27,CommunicationPoint,0,0
S28,Regular,2,976.5
S29,Regular,2,8394.5
S30,Regular,1,633.0
S31,Regular,1,4276.0
S32,Regular,1,528.0
S33,Regular,1,528.0
S35,Gate,1,528.0
S36,CommunicationPoint,0,0
S37,Regular,2,14990.0
S38,Regular,2,6060.0
S39,Regular,2,5640.0
S40,CommunicationPoint,0,0
S41,CommunicationPoint,0,0
S42,CommunicationPoint,0,0
S43,CommunicationPoint,0,0
S44,Regular,4,6888.75
S45,CommunicationPoint,0,0
S46,CommunicationPoint,0,0
S47,CommunicationPoint,0,0
S48,Regular,5,10750.0
S49,Regular,2,9550.0
S50,Regular,1,211.0
S51,CommunicationPoint,0,0
S52,Regular,2,6530.0
S53,Gate,1,2.0
S54,Regular,2,3650.0
S55,CommunicationPoint,0,0
S56,Regular,2,6150.0
S57,Regular,2,2243.5
S58,Regular,2,5420.0
S59,Regular,2,9030.0
S60,Regular,2,4140.0
S61,Regular,5,971.2
S62,Gate,1,1214.0
S63,Regular,6,15044.33
S64,Regular,1,528.0
S65,Regular,2,10300.0
S66,CommunicationPoint,0,0
S67,CommunicationPoint,0,0
S68,Regular,2,528.0
S69,CommunicationPoint,0,0
S70,Regular,2,4510.0
S71,Regular,2,528.0
S72,Regular,2,4430.0
S73,Regular,1,686.0
S74,Regular,1,33052.0
S75,CommunicationPoint,0,0
S76,CommunicationPoint,0,0
S77,Gate,1,37804.0
S78,Regular,2,6620.0
S81,Regular,2,10490.0
S83,Regular,2,7350.0
S86,Regular,2,15740.0
S87,Regular,2,528.0
S88,Regular,1,158.0
S89,CommunicationPoint,0,0
S90,CommunicationPoint,0,0
S91,Regular,3,4069.33
S92,Gate,1,2112.0
S93,CommunicationPoint,0,0
S94,CommunicationPoint,0,0
S95,CommunicationPoint,0,0
S97,Gate,1,528.0
S98,CommunicationPoint,0,0
S99,Regular,3,176.67
S100,Regular,2,6855.0
S101,Regular,1,211.0
S102,CommunicationPoint,0,0
S103,Regular,2,1346.0
S104,CommunicationPoint,0,0
S105,Regular,1,633.0
S106,Regular,1,528.0
S107,CommunicationPoint,0,0
S108,CommunicationPoint,0,0
S109,Regular,1,56496.0
S110,Gate,2,8315.5
S111,Regular,2,12020.0
S112,CommunicationPoint,0,0
S113,Regular,4,4820.5
S114,CommunicationPoint,0,0
S115,CommunicationPoint,0,0
S116,Regular,2,501.5
S117,Regular,1,528.0
S118,Regular,2,264.5
S119,Regular,1,580.0
S120,Regular,1,528.0
S121,Regular,1,528.0
S122,CommunicationPoint,0,0
S123,CommunicationPoint,0,0
S124,Regular,2,528.0
S125,Regular,2,8340.0
S126,CommunicationPoint,0,0
S127,Regular,2,6160.0
S128,Regular,2,6210.0
S129,CommunicationPoint,0,0
S130,CommunicationPoint,0,0
S131,Regular,3,5816.0
S132,CommunicationPoint,0,0
S133,Regular,2,7320.0
S134,Regular,1,528.0
S135,CommunicationPoint,0,0
S136,Regular,2,10140.0
S137,Regular,1,528.0
S138,CommunicationPoint,0,0
S140,CommunicationPoint,0,0
S141,Regular,3,528.0
S142,CommunicationPoint,0,0
S143,Regular,1,8553.0
S144,Regular,1,475.0
S145,Regular,2,8350.0
S146,CommunicationPoint,0,0
S147,CommunicationPoint,0,0
S148,CommunicationPoint,0,0
S149,CommunicationPoint,0,0
S150,CommunicationPoint,0,0
S151,Regular,1,528.0
S152,Regular,2,1030.0
S153,Regular,2,7350.0
S154,Regular,3,528.0
S155,Regular,2,528.0
S156,Regular,4,5455.75
S157,Regular,1,528.0
S159,Regular,3,8068.0
S160,CommunicationPoint,0,0
S161,CommunicationPoint,0,0
S162,CommunicationPoint,0,0
S163,CommunicationPoint,0,0
S164,Regular,2,5260.0
S165,Regular,1,422.0
S166,Regular,3,8270.0
S167,Regular,2,5300.0
S168,Regular,5,5837.4
S169,Regular,3,4489.33
S170,CommunicationPoint,0,0
S172,Regular,3,281.67
S173,CommunicationPoint,0,0
S174,CommunicationPoint,0,0
S175,CommunicationPoint,0,0
S176,CommunicationPoint,0,0
S177,Regular,4,7120.0
S178,Regular,4,6713.0
S179,Regular,1,528.0
S180,Regular,2,7780.0
S181,Regular,3,4649.33
S182,Regular,1,6850.0
S183,Regular,1,264.0
S184,CommunicationPoint,0,0
S185,Regular,2,8370.0
S186,CommunicationPoint,0,0
S187,CommunicationPoint,0,0
S188,CommunicationPoint,0,0
S189,Regular,1,26241.0
S190,Regular,2,6100.0
S191,CommunicationPoint,0,0
S192,Regular,2,5760.0
S193,CommunicationPoint,0,0
S194,CommunicationPoint,0,0
S195,Regular,2,7320.0
S196,Regular,1,264.0
S197,Regular,1,528.0
S198,Regular,3,16706.0
S199,CommunicationPoint,0,0
S200,Regular,2,10420.0
S201,Regular,2,10360.0
S202,Regular,2,8490.0
S203,Regular,1,528.0
S204,Regular,1,528.0
S207,Regular,2,290.0
S208,Gate,1,5280.0
S209,Regular,1,6282.0
S210,CommunicationPoint,0,0
S211,CommunicationPoint,0,0
S212,Regular,2,9220.0
S213,Regular,3,4722.67
S214,CommunicationPoint,0,0
S215,Regular,2,10750.0
S216,Regular,1,528.0
S217,Regular,4,5215.0
S218,Regular,1,475.0
S219,Regular,1,2851.0
S220,Regular,2,8450.0
S222,Regular,1,580.0
S223,CommunicationPoint,0,0
S224,Regular,1,422.0
S225,Regular,2,11860.0
S226,Regular,2,9080.0
S227,Regular,1,528.0
S228,Regular,1,52.0
S229,CommunicationPoint,0,0
S230,Regular,2,7990.0
S231,Regular,1,64891.0
S232,Regular,2,13270.0
S233,Regular,5,4126.2
S234,Regular,2,13430.0
S235,Regular,1,792.0
S236,Regular,2,7360.0
S237,Regular,1,528.0
S239,CommunicationPoint,0,0
S240,Regular,1,528.0
S241,Regular,1,528.0
S242,Regular,6,6338.83
S243,Regular,1,528.0
S244,CommunicationPoint,0,0
S245,CommunicationPoint,0,0
S246,Regular,2,1420.0
S247,Regular,1,528.0
S248,Regular,1,528.0
S249,CommunicationPoint,0,0
S250,Regular,2,6610.0
S251,CommunicationPoint,0,0
S252,Regular,2,7340.0
S253,CommunicationPoint,0,0
