Track,Station_A,Station_B,Length
T1,S697,S699,32471
T2,S305,S320,21489
T3,S286,S305,15469
T4,S7,S8,12829
T5,S267,S286,18215
T6,S252,S267,20803
T7,S526,S527,21384
T8,S7,S8,12829
T9,S528,S529,24973
T10,S497,S498,18585
T11,S6,S1006,28247
T12,S196,S900,47149
T13,S529,S530,48997
T14,S471,S472,25818
T16,S132,S151,58871
T17,S530,S531,42820
T18,S1001,S1004,25449
T19,S9,S486,1214
T20,S1003,S1004,13199
T21,S1003,S1004,13199
T22,S413,S414,105
T23,S498,S499,16525
T24,S499,S500,43612
T25,S800,S801,44246
T26,S472,S473,41764
T27,S789,S790,11774
T28,S12,S307,50053
T29,S109,S337,46568
T30,S610,S611,15681
T31,S317,S614,3062
T32,S56,S58,15522
T33,S812,S815,7867
T34,S814,S815,6388
T35,S329,S676,7391
T36,S77,S474,739
T37,S475,S476,950
T38,S763,S764,22069
T39,S617,S618,24446
T40,S117,S119,13463
T41,S127,S766,38649
T42,S127,S765,42239
T43,S128,S766,36378
T46,S998,S999,39599
T47,S635,S636,56548
T48,S1013,S1014,25660
T49,S764,S765,39758
T50,S497,S949,43559
T51,S181,S310,39177
T52,S175,S178,15100
T53,S762,S763,19324
T54,S552,S553,24868
T56,S28,S29,7497
T57,S1013,S1014,25554
T58,S854,S856,32365
T59,S1011,S1014,17793
T60,S18,S842,1108
T61,S824,S827,15787
T62,S1011,S1014,17740
T63,S35,S384,2851
T64,S176,S702,19007
T65,S367,S943,13516
T66,S32,S33,2587
T67,S32,S33,3062
T68,S907,S909,13411
T69,S192,S197,15786
T70,S36,S90,35428
T71,S130,S731,57921
T72,S37,S461,23971
T73,S37,S462,40813
T74,S554,S555,22386
T75,S22,S212,5649
T76,S38,S39,34055
T77,S256,S381,33474
T78,S40,S251,15522
T79,S40,S251,15575
T80,S6,S40,8342
T81,S6,S40,8395
T82,S41,S1016,57129
T83,S41,S1016,57076
T84,S41,S43,44826
T85,S42,S1015,41658
T86,S42,S1015,41605
T87,S70,S982,32260
T89,S702,S703,115473
T91,S658,S659,39441
T92,S659,S660,15839
T93,S610,S828,1161
T94,S39,S52,43612
T95,S51,S62,792
T96,S54,S60,27296
T97,S57,S341,8025
T99,S52,S58,45407
T100,S368,S416,37909
T101,S663,S664,35587
T102,S666,S667,44404
T103,S59,S889,77932
T104,S59,S333,28511
T106,S418,S419,13305
T107,S54,S333,16367
T109,S55,S57,7022
T110,S63,S153,26557
T111,S63,S195,25607
T112,S66,S521,12196
T113,S67,S962,20433
T114,S67,S108,16948
T115,S70,S982,37012
T116,S36,S70,44087
T117,S107,S1007,32524
T118,S747,S748,39757
T119,S746,S747,20644
T121,S86,S743,29673
T122,S419,S420,30412
T124,S464,S465,24288
T125,S73,S606,14044
T126,S213,S751,16525
T127,S73,S825,105
T128,S750,S751,21805
T129,S49,S61,38702
T130,S474,S476,1320
T131,S992,S993,24446
T132,S991,S992,18585
T133,S65,S250,108080
T134,S759,S760,32946
T135,S107,S245,8025
T136,S753,S754,20749
T137,S752,S753,20855
T138,S81,S309,23284
T141,S553,S554,43084
T142,S48,S83,31732
T143,S335,S555,44774
T145,S335,S556,38385
T146,S86,S744,14308
T147,S164,S603,41077
T148,S556,S557,47730
T149,S87,S942,14625
T150,S107,S245,8025
T151,S71,S87,11616
T152,S71,S87,11616
T153,S646,S647,40655
T154,S647,S648,56284
T155,S71,S197,15523
T156,S71,S207,11563
T157,S648,S649,48945
T158,S557,S558,45407
T159,S1,S394,11088
T160,S112,S834,21171
T161,S90,S174,53432
T162,S757,S758,22545
T163,S755,S756,20591
T164,S91,S92,16631
T165,S754,S755,14255
T166,S749,S750,17846
T167,S748,S749,22862
T168,S214,S543,14678
T170,S492,S493,12249
T171,S326,S991,28142
T172,S994,S995,22597
T173,S993,S994,37434
T174,S95,S326,56178
T175,S326,S990,30359
T176,S95,S990,16736
T177,S95,S138,59558
T178,S97,S99,792
T179,S97,S115,1003
T182,S99,S114,9873
T185,S99,S906,12671
T186,S99,S906,12671
T187,S100,S496,4890
T188,S101,S933,31415
T189,S101,S931,52693
T190,S907,S908,24709
T191,S907,S908,24709
T192,S904,S908,12829
T193,S904,S905,15470
T194,S904,S905,15417
T195,S112,S834,21171
T196,S112,S890,18268
T197,S112,S218,13992
T198,S78,S493,17846
T199,S540,S541,29303
T200,S110,S245,16578
T201,S50,S130,64257
T202,S50,S130,64256
T203,S542,S543,19535
T204,S102,S121,30782
T205,S102,S121,30782
T206,S104,S105,27350
T207,S61,S103,4276
T208,S104,S105,27349
T209,S531,S532,42081
T210,S12,S770,35428
T211,S306,S769,19059
T212,S768,S769,16948
T213,S741,S742,53010
T214,S740,S741,42450
T215,S76,S1007,36115
T216,S83,S111,31732
T218,S575,S576,21911
T219,S665,S666,44668
T220,S113,S616,24076
T221,S87,S118,7075
T222,S576,S577,26611
T223,S577,S578,23389
T224,S114,S905,49156
T225,S114,S905,49156
T226,S68,S103,12143
T227,S644,S645,39705
T228,S645,S646,36484
T229,S709,S710,36167
T230,S708,S709,31890
T231,S642,S643,46093
T232,S643,S644,42292
T233,S707,S708,36062
T234,S706,S707,57023
T235,S733,S734,38754
T236,S210,S324,14519
T237,S574,S575,27350
T241,S7,S129,21858
T242,S7,S129,21753
T243,S76,S249,44984
T244,S129,S229,1953
T245,S130,S731,57921
T246,S324,S739,42873
T247,S803,S804,42239
T248,S802,S803,59346
T249,S777,S778,16156
T250,S779,S780,12935
T251,S779,S780,12935
T252,S131,S457,29567
T255,S736,S737,54806
T257,S578,S579,61406
T258,S386,S387,25712
T259,S132,S151,58290
T260,S111,S133,33686
T261,S132,S138,37804
T262,S132,S134,11088
T263,S616,S617,25343
T264,S579,S580,29462
T265,S76,S249,44984
T267,S623,S624,47413
T268,S624,S625,27508
T269,S137,S855,17212
T270,S137,S855,17212
T271,S134,S138,26029
T272,S638,S639,54648
T274,S371,S372,17951
T275,S371,S372,17951
T276,S141,S373,35587
T277,S141,S373,35587
T278,S142,S145,37910
T279,S144,S186,950
T280,S144,S186,1425
T281,S144,S186,1425
T282,S142,S145,37910
T283,S140,S186,4012
T284,S901,S902,28141
T285,S147,S148,1531
T286,S146,S150,41500
T287,S146,S150,41500
T288,S149,S655,17634
T289,S150,S244,57076
T290,S4,S151,46411
T291,S150,S244,57129
T292,S154,S722,6969
T293,S154,S722,6916
T294,S133,S153,36748
T295,S154,S155,8236
T296,S154,S155,9028
T297,S738,S739,42925
T298,S4,S162,43929
T299,S159,S160,20274
T300,S159,S160,20274
T301,S160,S180,47783
T302,S160,S180,39599
T303,S345,S417,17793
T304,S167,S886,31626
T305,S164,S167,31626
T306,S159,S163,1742
T307,S159,S162,6547
T309,S4,S162,43929
T310,S162,S163,4382
T311,S161,S163,792
T312,S56,S60,30042
T313,S166,S405,32682
T316,S237,S957,1003
T317,S170,S187,1320
T318,S170,S187,1372
T319,S170,S187,1372
T320,S183,S322,17318
T321,S183,S189,10982
T322,S173,S175,3115
T323,S175,S176,844
T324,S173,S176,792
T325,S781,S782,21489
T326,S190,S657,40338
T327,S190,S658,48047
T328,S178,S649,57181
T329,S193,S989,9820
T330,S193,S988,25449
T331,S180,S193,43823
T332,S180,S989,24815
T333,S20,S414,105
T334,S123,S943,11826
T335,S182,S445,9081
T336,S182,S446,12988
T337,S88,S183,10084
T338,S88,S183,10084
T339,S88,S183,9661
T340,S159,S161,1795
T341,S142,S185,51321
T342,S142,S185,51321
T343,S188,S996,33052
T344,S188,S996,33052
T345,S210,S211,6600
T346,S210,S211,6600
T347,S213,S752,24129
T348,S191,S829,30834
T349,S191,S830,30834
T350,S699,S700,31363
T351,S193,S194,48733
T352,S194,S988,14308
T353,S194,S220,38966
T354,S196,S899,5755
T356,S192,S208,4276
T357,S700,S701,31943
T358,S38,S918,70856
T359,S671,S672,30782
T361,S662,S663,43982
T362,S61,S685,8659
T363,S61,S685,8606
T364,S81,S250,97098
T365,S195,S236,19271
T366,S879,S880,23336
T367,S108,S109,1003
T368,S715,S716,42925
T369,S710,S711,37487
T370,S714,S715,32630
T371,S712,S713,14308
T372,S711,S712,41711
T373,S580,S581,13410
T374,S581,S582,38121
T375,S582,S583,36906
T376,S672,S673,50212
T377,S584,S673,71437
T378,S244,S245,49262
T379,S244,S245,49262
T380,S567,S568,35850
T381,S568,S569,27191
T382,S570,S571,38121
T383,S571,S572,41394
T384,S799,S800,94300
T385,S558,S559,14678
T386,S561,S562,26558
T387,S200,S562,20539
T388,S67,S247,11563
T389,S67,S248,20011
T390,S247,S248,7233
T391,S247,S248,7233
T392,S75,S181,52113
T393,S249,S251,42767
T394,S249,S251,42767
T395,S236,S252,23653
T396,S89,S676,7761
T398,S89,S676,7761
T400,S254,S1001,29937
T401,S254,S1000,57709
T402,S254,S1000,57709
T403,S999,S1000,20538
T404,S501,S502,35956
T405,S693,S694,36853
T406,S692,S693,40286
T407,S689,S690,42080
T408,S255,S862,2270
T409,S255,S862,2006
T410,S256,S381,33474
T411,S258,S259,1436
T412,S259,S260,720
T413,S259,S260,720
T414,S259,S260,720
T415,S124,S260,1729
T416,S124,S260,2590
T417,S124,S261,739
T418,S261,S262,494
T419,S124,S263,700
T420,S262,S263,327
T421,S263,S264,2780
T422,S263,S264,2780
T423,S262,S265,2900
T424,S261,S266,1701
T425,S260,S266,6100
T426,S260,S266,6100
T427,S794,S795,44246
T428,S266,S277,885
T429,S266,S276,885
T430,S266,S275,885
T431,S266,S269,625
T432,S266,S269,625
T433,S266,S271,1350
T434,S266,S272,3300
T435,S124,S266,2667
T436,S269,S270,1200
T437,S270,S271,1200
T438,S271,S272,1742
T441,S266,S274,520
T442,S274,S277,1125
T443,S277,S278,1900
T444,S278,S279,844
T445,S277,S279,2323
T446,S276,S279,2323
T447,S275,S279,2323
T448,S279,S280,1372
T449,S279,S280,1372
T450,S279,S280,1372
T451,S280,S281,3062
T452,S281,S284,6388
T453,S281,S284,7392
T454,S281,S284,7286
T455,S280,S282,7022
T456,S280,S282,7022
T457,S282,S283,2534
T458,S282,S284,3168
T459,S283,S284,1689
T460,S284,S287,19429
T461,S284,S287,19958
T462,S284,S285,4699
T463,S285,S287,13938
T464,S287,S288,16790
T465,S287,S288,16790
T466,S287,S288,16790
T467,S288,S289,17265
T468,S288,S289,17264
T469,S288,S289,17845
T470,S165,S696,24234
T471,S695,S696,34002
T472,S694,S695,33158
T473,S511,S512,21806
T474,S513,S514,19746
T481,S94,S545,15047
T482,S546,S547,19536
T483,S547,S548,36114
T484,S548,S549,21542
T485,S549,S550,24868
T486,S550,S551,15259
T487,S551,S552,41077
T490,S788,S789,31785
T491,S784,S785,15048
T492,S783,S784,22703
T493,S782,S783,13252
T494,S509,S510,9661
T495,S514,S515,20380
T496,S515,S516,46622
T497,S516,S517,36748
T498,S517,S518,19324
T499,S518,S519,32629
T500,S519,S520,21489
T501,S202,S520,31468
T502,S791,S793,18954
T503,S797,S798,45671
T504,S796,S797,28247
T505,S795,S796,30729
T506,S126,S311,59927
T507,S126,S311,59927
T508,S503,S504,30993
T512,S313,S314,15787
T513,S45,S313,31204
T514,S45,S314,14731
T515,S23,S75,61564
T516,S470,S471,40075
T517,S5,S239,8870
T520,S316,S916,11298
T521,S377,S378,15681
T522,S564,S565,30095
T523,S563,S564,47202
T524,S566,S567,39124
T525,S572,S573,27561
T526,S573,S574,25501
T527,S422,S423,24182
T528,S996,S998,34003
T529,S317,S804,11668
T530,S776,S777,28511
T531,S775,S776,37118
T532,S735,S736,37329
T533,S734,S735,41024
T534,S761,S762,53697
T535,S760,S761,60508
T537,S767,S768,39811
